Name,Information,URL,Valid
NASA Cosmic History Overview,"Universe history: inflation, Big Bang, nucleosynthesis, recombination, dark ages, reionization",https://science.nasa.gov/universe/overview/,TRUE
NASA Building Blocks,"Universe composition: 5% normal matter, 27% dark matter, 68% dark energy",https://science.nasa.gov/universe/overview/building-blocks/,TRUE
NASA Dark Matter,"Dark matter properties and role in shaping the cosmos",https://science.nasa.gov/dark-matter/,TRUE
NASA Dark Energy,"Dark energy causes accelerating expansion; ~68% of universe",https://science.nasa.gov/dark-energy/,TRUE
NASA Planck Ingredients,"Planck inventory: 4.9% normal matter, 26.8% dark matter, 68.3% dark energy",https://www.nasa.gov/image-article/refining-ingredients-of-our-universe/,TRUE
NASA SVS Content Pie Chart,"Animated pie chart of universe composition from Planck data",https://svs.gsfc.nasa.gov/12307/,TRUE
CERN Story of the Universe,"Big Bang, inflation (size factor 10^50), force unification timeline",https://cms.cern/physics/story-of-the-universe,TRUE
CERN The Early Universe,"Big Bang history: quarks, nucleosynthesis, first atoms at 380,000 years, first stars at 150-200 million years",https://home.cern/science/physics/early-universe/,TRUE
NASA Hubble Big Bang,"Big bang theory, inflation, CMB, cosmic web, accelerating expansion",https://science.nasa.gov/mission/hubble/science/science-behind-the-discoveries/hubble-big-bang/,TRUE
NASA Mather Cosmology FAQ,"Three pillars of Big Bang: expansion, light element abundances, CMB; age ~13.7 billion years",https://asd.gsfc.nasa.gov/archive/mather/faq/cosmology.html,TRUE
NASA Webb Early Universe,"Cosmic Dawn 50M-1B years after Big Bang; reionization; first stars 30-300 solar masses",https://science.nasa.gov/mission/webb/early-universe/,TRUE
NASA Webb First Stars,"Population III stars: metal-free, 10-300 solar masses, up to 100,000 K, UV light reionized universe",https://science.nasa.gov/mission/webb/science-overview/science-explainers/what-were-the-first-stars-like/,TRUE
NASA Moon Formation,"Giant impact theory: Theia collided with young Earth ~4.5 billion years ago, debris formed Moon",https://science.nasa.gov/moon/formation/,TRUE
NASA Space Place Solar System Formation,"Solar system formed ~4.6 billion years ago from collapsing nebula",https://spaceplace.nasa.gov/solar-system-formation/en/,TRUE
NASA Solar System Facts,"Solar system: Sun, 8 planets, dwarf planets; formed 4.6 billion years ago from solar nebula",https://science.nasa.gov/solar-system/solar-system-facts/,TRUE
NASA Moon Formation Research,"Evidence Moon formed from Earth materials after giant impact with Mars-sized body",https://www.nasa.gov/news-release/nasa-research-could-reshape-understanding-of-moon-formation/,TRUE
NASA Moon Collision Simulation,"Simulation: Moon may have formed in hours from Earth-Theia collision",https://www.nasa.gov/solar-system/collision-may-have-formed-the-moon-in-mere-hours-simulations-reveal/,TRUE
NASA Moon Facts,"Moon formed after Mars-sized body hit Earth; magma ocean crystallized into lunar crust",https://science.nasa.gov/moon/facts/,TRUE
NASA Astrobiology Life Emergence,"Life may have existed on Earth as far back as ~4 billion years; origin still a mystery",https://science.nasa.gov/astrobiology/learning-resources/alp/how-did-life-first-emerge-on-earth/,TRUE
NASA Astrobiology Solar System,"Solar system formed 4.6 billion years ago from collapsing molecular cloud and protoplanetary disk",https://science.nasa.gov/astrobiology/learning-resources/alp/how-did-our-solar-system-form/,TRUE
UChicago Origin of Life Explainer,"Earth 4.5 billion years old; oldest fossils 3.7 billion years; Miller-Urey; meteorite delivery of molecules",https://news.uchicago.edu/explainer/origin-life-earth-explained,TRUE
NASA Fate of the Universe,"Three scenarios: Big Crunch, continued expansion, Big Rip",https://science.nasa.gov/asset/hubble/the-fate-of-the-universe-three-scenarios/,TRUE
NASA Big Rip,"Big Rip scenario: expansion tears apart galaxies, stars, planets, atoms",https://science.nasa.gov/asset/hubble/big-rip/,TRUE
Wikipedia Universe,"Universe age 13.787 billion years; observable diameter ~93 billion light-years; composition; Laniakea Supercluster",https://en.wikipedia.org/wiki/Universe,TRUE
Wikipedia Chronology of the Universe,"Detailed cosmic timeline: inflation, quark soup, nucleosynthesis, dark ages, CMB, cosmic acceleration",https://en.wikipedia.org/wiki/Chronology_of_the_universe,TRUE
Wikipedia History of Life,"Life timeline: earliest life ~3.7 Ga, Great Oxygenation Event 2.4 Ga, eukaryotes 1.85 Ga, dinosaurs until 66 Ma, humans",https://en.wikipedia.org/wiki/History_of_life,TRUE
Wikipedia Future of an Expanding Universe,"Future scenarios: heat death, Big Rip, Big Crunch; star formation ends ~100 trillion years; black hole evaporation",https://en.wikipedia.org/wiki/Future_of_an_expanding_universe,TRUE
New Scientist First Second,"Inflation expanded universe ~10^26 times; first second laid foundations for everything",https://www.newscientist.com/article/2512097-the-most-important-second-in-the-entire-history-of-the-universe/,TRUE
National Geographic Dark Energy,"DESI results suggest dark energy may be weakening; heat death most likely fate under cosmological constant",https://www.nationalgeographic.com/science/article/dark-energy-desi-universe-future-end,TRUE
CfA Early Universe,"Inflation factor 10^26; first stars hundreds of times Sun's mass; black hole seeds; CMB oldest light",https://www.cfa.harvard.edu/big-questions/what-happened-early-universe,TRUE
