Name,Information,URL,Valid
DEV Community — 2026 AI Coding Tool Showdown,Market-share overview of Claude Code (46% most-loved) vs Cursor (19%) vs GitHub Copilot (9%) in 2026,https://dev.to/alexcloudstar/claude-code-vs-cursor-vs-github-copilot-the-2026-ai-coding-tool-showdown-53n4,TRUE
Sourcegraph — Agentic Coding in 2026,Defines agentic coding as autonomous plan-act-verify loops; describes emerging Planner/Architect/Implementer/Tester/Reviewer multi-agent pattern,https://sourcegraph.com/blog/agentic-coding,TRUE
Sourcegraph — Context Engineering,Defines context engineering and its four pillars (instructions, retrieval, memory, tools) as the core skill for working with coding agents,https://sourcegraph.com/blog/context-engineering,TRUE
Martin Fowler — Context Engineering for Coding Agents,Practical explanation of why context curation, not prompt wording, determines agent reliability on real codebases,https://martinfowler.com/articles/exploring-gen-ai/context-engineering-coding-agents.html,TRUE
Fortune — "100% of code at Anthropic and OpenAI is now AI-written",Reports Anthropic's Boris Cherny and OpenAI's "roon" writing zero code by hand; Dario Amodei's 6-12 month prediction,https://fortune.com/2026/01/29/100-percent-of-code-at-anthropic-and-openai-is-now-ai-written-boris-cherny-roon/,TRUE
arXiv 2603.28592 — Debt Behind the AI Boom,Empirical study of 302.6K AI-authored commits across 6299 repos; 484366 issues found (89.3% code smells, 6.0% correctness, 4.7% security); 22.7% persistence rate,https://arxiv.org/html/2603.28592v2,TRUE
Forbes — "Coding Jobs Vanish For Juniors",2026 statistics on entry-level hiring declines and Andrej Karpathy's view that judgment/specification is now the scarce resource,https://www.forbes.com/sites/josipamajic/2026/08/09/coding-jobs-vanish-for-juniors-as-ai-reshapes-career-path/,TRUE
Seldo.com — "AI has torched the market for junior programmers",Analysis of why the traditional junior-developer role (writing boilerplate/CRUD) is disappearing as a job category,https://seldo.com/posts/ai-has-torched-the-market-for-junior-programmers/,TRUE
The Decoder — Altman and Amodei walk back AI jobs apocalypse predictions,May 2026 quotes from both CEOs softening earlier predictions of mass white-collar job loss,https://the-decoder.com/sam-altman-and-dario-amodei-walk-back-their-ai-job-apocalypse-predictions/,TRUE
EdWeek — Momentum builds to expand coding education to AI "under the hood",Describes K-12 shift from teaching syntax to teaching how AI models actually work,https://www.edweek.org/technology/momentum-builds-to-expand-coding-education-to-learning-about-ai-under-the-hood/2026/06,TRUE
EdWeek Market Brief — Code.org's new CEO on the future of CS education,Code.org rebranding to CodeAI and Hour of Code becoming Hour of AI,https://marketbrief.edweek.org/education-market/computer-science-education-will-look-different-in-the-age-of-ai-says-code-orgs-new-ceo/2026/03,TRUE
UC San Diego Today — Transforming Computer Science Education in the Age of AI,University-level examples of curriculum shifting toward AI orchestration and code review skills,https://today.ucsd.edu/story/transforming-computer-science-education-in-the-age-of-ai,TRUE
Cloud Security Alliance — AI-Generated CVE Surge research note,Research note on the rise of vulnerabilities traced to AI/"vibe coding" generated code in 2026,https://labs.cloudsecurityalliance.org/research/csa-research-note-ai-generated-code-vulnerability-surge-2026/,TRUE
Veracode — AI-Generated Code Security Risks,Reports 40-45% of AI-generated code contains an OWASP Top 10-mapped vulnerability,https://www.veracode.com/blog/ai-generated-code-security-risks/,TRUE
Digital Applied — AI Coding Adoption 2026: 50 Statistics,Aggregated adoption statistics including GitHub Copilot enterprise usage (140K+ orgs),https://www.digitalapplied.com/blog/ai-coding-adoption-statistics-2026-50-data-points,TRUE
Second Talent — How Much Software Is Written by AI in 2026,Compiles GitHub/Microsoft/Google-reported percentages of AI-generated code in production,https://www.secondtalent.com/resources/how-much-software-written-by-ai/,TRUE
