Name,Information,URL,Valid
"BLS – Computer and Information Research Scientists",Official US gov data: 2024 median pay $140,910; 20% growth projected 2024-34,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,TRUE
"BLS – AI, IT and employment 2024-34",Official US gov projection: data scientists +33.5%, software developers +15.8%,https://www.bls.gov/opub/ted/2026/artificial-intelligence-information-technology-and-employment-2024-34.htm,TRUE
"PwC 2026 AI Jobs Barometer",AI-exposed companies show 40% higher productivity growth; two-track jobs market data,https://www.pwc.com/gx/en/services/ai/ai-jobs-barometer.html,TRUE
"CompTIA State of the Tech Workforce 2026",~275,000 AI-skills job postings in January 2026; tech workforce grows 2x faster than overall,https://www.comptia.org/en/resources/research/state-of-the-tech-workforce-2026/,TRUE
"McKinsey – Upgrading software business models in the AI era",Analysis of 150 software vendors: shift to consumption/outcome pricing; 63% of leaders expect model change,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/upgrading-software-business-models-to-thrive-in-the-ai-era,TRUE
"CSET – Identifying the AI Development Workforce",~519,000 AI development workers in US (March 2026); 331,445 AI dev postings in 2025,https://cset.georgetown.edu/publication/identifying-the-ai-development-workforce/,TRUE
"Dice 2026 Tech Jobs Report",AI skill requirements reached 79% of US tech job postings (July 2026), up 144% YoY,https://www.dice.com/hiring/recruitment/reports/dice-tech-job-report,TRUE
"Simon-Kucher – Services as software",Business services AI study: 90% of firms selling/planning AI-enabled offerings; T&M still dominates,https://www.simon-kucher.com/en/insights/services-software-why-ai-rewriting-commercial-logic-business-services,TRUE
"Dan Cumberland Labs – AI Consultant vs Developer",Consultant = strategy ($150-300/hr); Developer = execution ($75-200/hr); hire sequencing,https://dancumberlandlabs.com/blog/ai-consultant-vs-developer/,TRUE
"Dan Cumberland Labs – AI Consulting vs Development",Consulting first when unclear; development when requirements defined; ROI timelines,https://dancumberlandlabs.com/blog/ai-consulting-vs-development/,TRUE
"AIMindShift – AI Consultant vs AI Engineer",Consultant diagnoses; engineer builds; engineer-consultant hybrid model,https://aimindshift.consulting/guides/ai-consultant-vs-ai-engineer/,TRUE
"Vlad Brakalo – AI Consultant vs AI Engineer",Deliverables (decisions vs code); when to hire each; typical pitfalls,https://vladbrakalo.com/blog/ai-consultant-vs-ai-engineer/,TRUE
"Xonique – AI Consultant vs AI Developer",Role responsibilities and project-lifecycle involvement for both roles,https://xonique.dev/blog/ai-consultant-vs-ai-developer-differences/,TRUE
"Aatvi – AI consulting vs AI software development",Buyer guide: consulting for unclear problems, development for defined builds,https://aatvi.ai/en/insights/ai-consulting-vs-ai-software-development,TRUE
"AI Dev Lab – AI consulting vs AI dev shop",Consultant = plan; dev shop = working system; hybrid conflict-of-interest warning,https://aidevlab.com/blog/ai-consulting-vs-ai-dev-shop/,TRUE
"Azumo – Consulting vs Development vs Staff Augmentation",Three engagement models compared; when each is appropriate,https://azumo.com/artificial-intelligence/ai-insights/ai-consulting-vs-ai-development-vs-staff-augmentation,TRUE
"Phosai Labs – AI consulting firm vs software vendor",Consulting builds context/workflows; vendor sells access; sequence matters,https://phosailabs.com/blog/ai-consulting-firm-vs-ai-software-vendor,TRUE
"AgenticAI Pricing – Service-to-software playbook",AI software firms valued at 25.8x-29.7x vs services 7x-15x revenue multiples; hybrid models,https://www.agenticaipricing.com/the-service-to-software-transition-playbook-for-ai-consultancies/,TRUE
"AgenticAI Pricing – Consulting vs AI products",Pricing model comparison: value-based vs subscription; hybrid pricing adoption 27% to 41%,https://www.agenticaipricing.com/pricing-ai-consulting-vs-ai-products-finding-your-model/,TRUE
"SFAI Labs – AI agency vs product studio",Agencies (client owns IP) vs studios (firm owns IP); retainers dominate revenue,https://sfailabs.com/guides/why-the-ai-agency-model-is-colliding-with-the-ai-product-studio-model,TRUE
"Nexa – Consulting vs SaaS",Pros/cons of services vs product business; valuations 2-5x EBITDA vs 5-20x ARR,https://nexaconsultancy.com/resources/compare/consulting-vs-saas,TRUE
"MagmaLabs – Staff Aug vs Product Dev vs Consulting",Capacity vs outcomes vs direction; pricing and accountability comparison,https://blog.magmalabs.io/2026/07/09/staff-augmentation-vs-product-dev-vs-consulting-2026.html,TRUE
"c0nsl – Scaling solo AI consulting",Four ceilings of solo consulting: parallelism, rate selection, drift, emotional 20%,https://c0nsl.com/t/scaling-solo-ai-consulting-tradeoffs,TRUE
"ConsultKit – Productize AI consulting",Hourly billing shrinks income as AI speeds delivery; fixed-scope/outcome packages,https://www.consultkit.ai/blog/how-to-productize-ai-consulting-services,TRUE
"AliceLabs – AI consulting vs in-house",Consulting faster/lower-risk; in-house wins on control and long-term ROI; hybrid default,https://alicelabs.ai/en/insights/ai-consulting-vs-in-house-ai,TRUE
"Oliver Eidel – Consulting before product",First-hand account: consulting easier to start and sell; product sales ~10x harder,https://eidel.io/posts/build-a-consulting-business-before-you-build-a-product-business,TRUE
"KORE1 – AI Engineer career path 2026",AI Engineer top LinkedIn 2026 Jobs on the Rise (+143% YoY); salary ladder $110K-$400K+,https://www.kore1.com/ai-engineer-career-path-2026/,TRUE
"Codecademy – AI Engineer salary",US AI engineer median base $150K-$165K; entry $100K-$130K to senior $180K-$250K+,https://www.codecademy.com/resources/blog/how-much-does-an-ai-engineer-make,TRUE
"HeroHunt – AI Engineer salary 2026",Levels.fyi median total comp ~$156K; bands from $110K junior to $1M+ principal at frontier labs,https://www.herohunt.ai/blog/ai-engineer-salary-2026-real-comp-bands-by-level/,TRUE
"Acceler8 Talent – AI Engineer career guide 2026",Entry $90K-$120K to staff/principal $200K-$312K+; work-life balance 7/10; remote/hybrid 85%,https://www.acceler8talent.com/resources/blog/what-is-an-ai-engineer--career-guide-for-2026/,TRUE
"MyEngineeringPath – Day in the life of a GenAI engineer",Time split: ~30% pipelines, 15% evaluation, 15% debugging, 20% meetings; career levels,https://myengineeringpath.dev/genai-engineer/day-in-the-life/,TRUE
"AgenticCareers – Day in the life of an AI agent engineer",Hour-by-hour account; evaluation takes 30-40% of week; salary example $185K + $45K equity,https://agenticcareers.co/blog/day-in-life-ai-agent-engineer,TRUE
"Future Skills Academy – AI Analyst vs Engineer vs Consultant",Skills for each role: engineers code-first; consultants need AI literacy + soft skills,https://futureskillsacademy.com/blog/ai-analyst-vs-ai-engineer-vs-ai-consultant-roles/,TRUE
"MentorCruise – How to become an AI consultant",Transition gap is client-facing skills not technical; diagnostic fluency is the threshold,https://mentorcruise.com/blog/how-to-become-an-ai-consultant/,TRUE
"ADVISORI – How to become an AI consultant",5-7 year route; 5 technical + 5 advisory skills; EU AI Act / ISO 42001 regulatory literacy,https://www.advisori.de/en/blog/how-to-become-ai-consultant-career-path-skills-certifications,TRUE
