"Name","Information","URL","Valid"
"Smithsonian: Introduction to Human Evolution","Evolutionary foundations and branching human family tree","https://humanorigins.si.edu/education/introduction-human-evolution","TRUE"
"Smithsonian: Human Evolution FAQ","Human relationships to apes and common ancestry","https://humanorigins.si.edu/education/frequently-asked-questions","TRUE"
"Natural History Museum: Origin of Our Species","Overview of human origins and major adaptations","https://www.nhm.ac.uk/discover/the-origin-of-our-species.html","TRUE"
"Smithsonian: Human Fossil Species","Institutional catalogue of major hominin species","https://humanorigins.si.edu/evidence/human-fossils/species","TRUE"
"Smithsonian: Walking Upright","Evidence and timing of bipedalism","https://humanorigins.si.edu/human-characteristics/walking-upright","TRUE"
"Smithsonian: Brains","Brain-size trends and environmental variability","https://humanorigins.si.edu/human-characteristics/brains","TRUE"
"Smithsonian: Tools and Food","Stone tools, fire, diet, and food processing","https://humanorigins.si.edu/human-characteristics/tools-food","TRUE"
"Smithsonian: Language and Symbols","Indirect evidence and uncertainty around language","https://humanorigins.si.edu/human-characteristics/language-symbols","TRUE"
"Smithsonian: Social Life","Social cooperation and care in human evolution","https://humanorigins.si.edu/human-characteristics/social-life","TRUE"
"Smithsonian: Homo sapiens","Species anatomy, age, and distribution","https://humanorigins.si.edu/evidence/human-fossils/species/homo-sapiens","TRUE"
"Hublin et al. 2017","Jebel Irhoud fossils and an approximately 300000-year age for early Homo sapiens","https://doi.org/10.1038/nature22336","TRUE"
"Vidal et al. 2022","Minimum age constraint for Omo I from volcanic ash","https://doi.org/10.1038/s41586-021-04275-8","TRUE"
"Scerri et al. 2018","Pan-African structured-population model for Homo sapiens origins","https://doi.org/10.1016/j.tree.2018.05.005","TRUE"
"Harmand et al. 2015","Lomekwi 3 stone tools dated to about 3.3 million years ago","https://doi.org/10.1038/nature14464","TRUE"
"Natural History Museum: Modern Human Evolution","African origins and multiple dispersals","https://www.nhm.ac.uk/discover/modern-humans-homo-sapiens-when-where-how-did-we-evolve.html","TRUE"
"Reich et al. 2010","Denisovan genome and ancestry contribution","https://doi.org/10.1038/nature09710","TRUE"
"Slon et al. 2018","First-generation Neanderthal-Denisovan offspring","https://doi.org/10.1038/s41586-018-0455-x","TRUE"
"Huerta-Sanchez et al. 2014","Denisovan-like EPAS1 variant and Tibetan high-altitude adaptation","https://doi.org/10.1038/nature13408","TRUE"
"Smithsonian: Ancient DNA and Neanderthals","Ancient-DNA methods and evidence for interbreeding","https://humanorigins.si.edu/evidence/genetics/ancient-dna-and-neanderthals","TRUE"
"Smithsonian: Dating","Dating methods used in human-evolution research","https://humanorigins.si.edu/evidence/dating","TRUE"
"NHGRI: Complete Neanderthal Genome Sequenced","Official NIH summary of the Neanderthal genome and admixture","https://www.genome.gov/27539119/2010-release-complete-neanderthal-genome-sequenced","TRUE"
"Hublin et al. 2020","Bacho Kiro early Homo sapiens in Europe","https://doi.org/10.1038/s41586-020-2259-z","TRUE"
"National Park Service: White Sands Footprints","Official summary of evidence for humans in North America at least 23000 years ago","https://www.nps.gov/whsa/learn/nature/fossilized-footprints.htm","TRUE"
"Green et al. 2010 Science DOI","Neanderthal draft genome; publisher endpoint returned HTTP 403 and was replaced by NHGRI summary","https://doi.org/10.1126/science.1188021","FALSE"
"Berna et al. 2012 PNAS DOI","Wonderwerk fire evidence; publisher endpoint returned HTTP 403 and was not cited directly","https://doi.org/10.1073/pnas.1117620109","FALSE"
"Misliya Cave Science DOI","Early Homo sapiens dispersal; publisher endpoint returned HTTP 403 and was omitted","https://doi.org/10.1126/science.aap8369","FALSE"
"White Sands Science DOI","Independent footprint dating; publisher endpoint returned HTTP 403 and was replaced by NPS","https://doi.org/10.1126/science.adh5007","FALSE"
