| Name | Information | URL | Valid |
|------|-------------|-----|-------|
| Wikipedia - Ramayana | Composition dating estimates (8th-4th c. BCE), textual layering, no archaeological discussion in main article | https://en.wikipedia.org/wiki/Ramayana | TRUE |
| Wikipedia - Archaeology of Ayodhya | B.B. Lal's 1975-76 excavation, pillar bases, Vishnu-Hari inscription debate, contested interpretations | https://en.wikipedia.org/wiki/Archaeology_of_Ayodhya | TRUE |
| Wikipedia - Adam's Bridge | Geological description of the natural limestone shoal chain between India and Sri Lanka | https://en.wikipedia.org/wiki/Adam%27s_Bridge | TRUE |
| Wikipedia - B. B. Lal | Biography of archaeologist who led the "Archaeology of Ramayana Sites" project (1975-76) | https://en.wikipedia.org/wiki/B._B._Lal | TRUE |
| Wikipedia - Historicity of the Iliad | Comparison case: Troy/Trojan War historicity debate for context on epic-vs-history questions | https://en.wikipedia.org/wiki/Historicity_of_the_Iliad | TRUE |
| Wikipedia - Romila Thapar | Background on the historian known for analyzing itihasa (epic) vs. history in Indian tradition | https://en.wikipedia.org/wiki/Romila_Thapar | TRUE |
| NCBI/PMC - Adam's Bridge bathymetric study | Peer-reviewed geomorphological study of Adam's Bridge using ICESat-2 elevation data | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11213924/ | TRUE |
| Scroll.in - Marine archaeologist on Ram Setu | Coverage of ASI/marine archaeology search efforts and claims around Ram Setu | https://scroll.in/article/847437/i-am-100-sure-we-will-find-archaeological-remains-marine-archaeologist-on-ram-setu | TRUE |
| The Morning (Sri Lanka) - Ramayana tourism | Sri Lankan tourism board's "Ramayana Trail" campaign and its reception | https://www.themorning.lk/articles/c9fcSEERWrx3myL5n8jB | TRUE |
| Indie Journal - Sri Lanka's Ramayana Trail | Critical account of invented/unverified Ramayana sites in Sri Lanka tourism | https://www.indiejournal.in/article/sri-lanka-s-ramayana-trail | TRUE |
| Hindupedia - Astronomy dating problems | Methodological critique of using astronomical software to date the Ramayana/Mahabharata | https://hindupedia.com/en/The_problem_of_using_Astronomy_in_dating_the_Vedas,_Ramayana,_Mahabharata | TRUE |
| India Seminar - Romila Thapar, "The epic of the Bharatas" | Thapar's scholarly framing of itihasa, epic vs. history | https://www.india-seminar.com/2010/608/608_romila_thapar.htm | TRUE |
| Britannica - Ramayana | Encyclopedia entry on Ramayana authorship, genre, and content | https://www.britannica.com/topic/Ramayana-Indian-epic | TRUE (site blocks automated requests; content verified via search snippet from a reputable, well-established encyclopedia) |
| Britannica - Troy | Encyclopedia entry on Troy archaeology and Trojan War historicity | https://www.britannica.com/place/Troy-ancient-city-Turkey | TRUE (site blocks automated requests; content verified via search snippet from a reputable, well-established encyclopedia) |
| Smithsonian Magazine - In Search of Troy | Feature on Hisarlik excavations and Trojan War historicity debate | https://www.smithsonianmag.com/history/in-search-of-troy-180979553/ | TRUE (site blocks automated requests; content verified via search snippet from a reputable, well-established publication) |
| ThePrint - B.B. Lal profile | Profile of archaeologist B.B. Lal and the Ayodhya excavation controversy | https://theprint.in/theprint-profile/b-b-lal-first-archaeologist-who-showed-proof-that-ayodhya-was-no-mythology/1124337/ | TRUE (site blocks automated requests; content verified via search snippet from a known Indian news outlet) |
