Name,Information,URL,Valid
Groww - FAANG Stocks Performance,FAANG stocks returned over 776% vs S&P 500's 135.6% over the decade; FAANG share of S&P 500 market cap grew from 7.4% (2014) to 14.4% (2019),https://groww.in/blog/faang-stocks-performance-over-the-last-decade,TRUE
Forbes - Magnificent 7 AI Split,Magnificent Seven dominance driven by AI boom pandemic digital transformation and low rates; dominance beginning to fracture in 2026 due to diverging AI strategies,https://www.forbes.com/sites/jimosman/2026/05/21/the-magnificent-7-trade-is-starting-to-break-apart/,TRUE
Armstrong Fleming & Moore - Market Concentration,Top 10 S&P 500 companies grew from 22% of index market cap in 2020 to nearly 40% by 2026,https://afmfa.com/market-concentration-and-the-magnificent-seven/,TRUE
Intellectia.ai - AI Earnings Momentum 2026,Magnificent Seven expected to spend $527B on AI/data center capex in FY2026; AI boom valuations lower than dot-com era capex funded by cash flow,https://intellectia.ai/blog/ai-earnings-momentum-2026,TRUE
Webull - Goldman Sachs S&P 500 Forecast,Goldman Sachs projects S&P 500 to reach 9000 by 2030 and 11100 by 2035 with 6.5% annualized base-case return,https://www.webull.com/news/13844697640395776,TRUE
Goldman Sachs Insights - 2025 Forecast,Goldman Sachs S&P 500 10% return forecast for 2025 article context on GS market views,https://www.goldmansachs.com/insights/articles/the-s-and-p-500-is-forecast-to-return-10-percent-in-2025,TRUE
J.P. Morgan Asset Management - 2026 LTCMA,US large cap equities forecast to return 6.7% annualized over next 10-15 years; AI to add ~20bps annual boost to developed market growth,https://am.jpmorgan.com/us/en/asset-management/institutional/about-us/media/press-releases/jp-morgan-releases-2026-long-term-capital-market-assumptions/,TRUE
Bleap Finance - Largest Companies by Market Cap 2026,Nvidia Apple Alphabet Microsoft Amazon top global market cap rankings in 2026 nearly all technology/AI companies,https://www.bleap.finance/en-us/blog/largest-american-companies-by-market-cap,TRUE
American Deposits - History of QE,Federal Reserve QE1-3 and zero interest rate policy 2008-2015 details Fed balance sheet growth from $882B to $4.5T by 2014,https://americandeposits.com/insights/history-quantitative-easing-united-states/,TRUE
Axios - 2010s Tech Companies Became Everything,2010s narrative on tech company dominance (automated validation blocked by site bot-protection; content corroborated via search snippet),https://www.axios.com/2020/01/02/tech-companies-2010s-facebook-google-netflix,FALSE
McKinsey - Global Energy Perspective,Energy transition AI power demand and data center capacity themes for 2030s (automated validation timed out; McKinsey is an official primary source domain),https://www.mckinsey.com/industries/energy-and-materials/our-insights/global-energy-perspective,FALSE
McKinsey Global Institute - 2025 in Charts,Demographic shifts falling fertility and increasing longevity as defining economic themes (automated validation timed out),https://www.mckinsey.com/mgi/our-research/mckinsey-global-institute-2025-in-charts,FALSE
