Name,Information,URL,Valid
"US Bureau of Labor Statistics – Computer and Information Research Scientists","Median pay $140,910 in 2024; 20% employment growth projected 2024–2034. Verified via search index (direct fetch blocked by bot protection, HTTP 403).",https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,TRUE
"US BLS – AI, IT and Employment 2024–34","Data scientists projected +33.5%, software developers +15.8%, computer and information research scientists +19.7% by 2034. Verified via search index (direct fetch 403).",https://www.bls.gov/opub/ted/2026/artificial-intelligence-information-technology-and-employment-2024-34.htm,TRUE
"US BLS – Fastest growing occupations table","BLS table of fastest-growing occupations 2024–2034 including data scientists, computer and information research scientists (verified via search index; direct fetch 403).",https://www.bls.gov/emp/tables/fastest-growing-occupations.htm,TRUE
"World Economic Forum – Future of Jobs Report 2025 digest","AI/ML specialists among fastest-growing jobs by 2030; AI & information processing projected to create 11 million jobs and displace 9 million. Verified via search index (direct fetch 403).",https://www.weforum.org/publications/the-future-of-jobs-report-2025/digest/,TRUE
"WEF – Future of Jobs Report 2025: fastest growing and declining jobs","AI and machine learning specialists among the three fastest-growing roles by 2030; 86% of employers expect AI to transform business. Verified via search index (direct fetch 403).",https://www.weforum.org/stories/2025/01/future-of-jobs-report-2025-the-fastest-growing-and-declining-jobs/,TRUE
"CIO – What does an AI consultant actually do?","Explains AI consultant daily work: requirement analysis, strategy/roadmaps, model & data analysis, implementation, training staff, ethics/GDPR. Verified via search index (direct fetch 403).",https://www.cio.com/article/3951929/what-does-an-ai-consultant-actually-do.html,TRUE
"IBM – What is an AI Developer?","AI developer integrates AI into applications; distinguishes AI developer vs AI engineer (developer = coding/integration, engineer = architecture/MLOps). HTTP 200.",https://www.ibm.com/think/topics/ai-developer,TRUE
"Coursera – AI Engineer Salary","AI engineer median salary $145,080 per BLS; Glassdoor median base $134,023; experience and city breakdowns. HTTP 200.",https://www.coursera.org/articles/ai-engineer-salary,TRUE
"Coursera – AI Developer: Job Description, Salary, How to Become One","AI developer duties: coding, working with models/algorithms, helping employees use solutions, strategy/design sessions. HTTP 200.",https://www.coursera.org/articles/ai-developer,TRUE
"Gartner – Why Half of GenAI Projects Fail","~50% of GenAI projects abandoned after proof of concept; five failure points incl. lack of business value, data readiness, change management. HTTP 200.",https://www.gartner.com/en/articles/genai-project-failure,TRUE
